Model,Accuracy,Precision,Recall,F1 Score
Stacked_selected,0.9509712331425245,0.95095524423159,0.9509712331425245,0.9509629374293305
xgb_selected,0.9509265547686039,0.9512449045618477,0.9509265547686039,0.9510314834231215
xgb,0.9504424091896927,0.9506992908846017,0.9504424091896927,0.9505322315545874
Stacked,0.9488114873387018,0.948730518260504,0.9488114873387018,0.9487598720466883
FNN,0.9344147780192487,0.9281394414681974,0.9300373484189605,0.9290723503747635
ada,0.9157077714174833,0.9156882303712217,0.9157077714174833,0.9149159457189425
ada_selected,0.9157077714174833,0.9156882303712217,0.9157077714174833,0.9149159457189425
Stacked_PCA,0.8923061996701271,0.9000327741744488,0.8923061996701271,0.8884955749891319
xgb_PCA,0.8661880275540894,0.8773806512872538,0.8661880275540894,0.8598160760003112
ada_PCA,0.857262054914136,0.8703392029568588,0.857262054914136,0.8496509686363991
